Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
AJ_068	FAKLGEAP_03178	2	51854	52555	-	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	PARTIALP	233	267	75.66	100.00	202	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	NF032896.1	APH(3'') family aminoglycoside O-phosphotransferase
AJ_068	FAKLGEAP_03179	2	52568	53428	-	aac(3)-IId	aminoglycoside N-acetyltransferase AAC(3)-IId	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	EXACTP	286	286	100.00	100.00	286	WP_000557454.1	aminoglycoside N-acetyltransferase AAC(3)-IId	NF033080.0	AAC(3)-II family aminoglycoside N-acetyltransferase
AJ_068	FAKLGEAP_03252	2	121464	122243	-	aph(3')-VIa	aminoglycoside O-phosphotransferase APH(3')-VIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTP	259	259	100.00	100.00	259	WP_000422636.1	aminoglycoside O-phosphotransferase APH(3')-VIa	NF033062.0	APH(3')-VI family aminoglycoside O-phosphotransferase
AJ_068	FAKLGEAP_03265	2	132049	132888	-	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTP	279	279	100.00	100.00	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1	NF000294.1	sulfonamide-resistant dihydropteroate synthase Sul1
AJ_068	FAKLGEAP_03266	2	132882	133229	-	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEP	115	115	100.00	100.00	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	NF000276.2	quaternary ammonium compound efflux SMR transporter QacE
AJ_068	NA	2	133401	133952	-	aac(6')-Ib4	aminoglycoside N-acetyltransferase AAC(6')-Ib4	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	ALLELEX	184	184	100.00	100.00	184	WP_003159191.1	aminoglycoside N-acetyltransferase AAC(6')-Ib4	NF033074.0	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
AJ_068	FAKLGEAP_03268	2	134091	134543	-	arr-3	NAD(+)--rifampin ADP-ribosyltransferase Arr-3	core	AMR	AMR	RIFAMYCIN	RIFAMYCIN	EXACTP	150	150	100.00	100.00	150	WP_001749986.1	NAD(+)--rifampin ADP-ribosyltransferase Arr-3	NF033144.1	NAD(+)--rifampin ADP-ribosyltransferase
AJ_068	FAKLGEAP_03273	2	137786	138565	+	aph(3')-VI	APH(3')-VI family aminoglycoside O-phosphotransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTP	259	259	100.00	100.00	259	WP_014386410.1	APH(3')-VI family aminoglycoside O-phosphotransferase	NF033062.0	APH(3')-VI family aminoglycoside O-phosphotransferase
AJ_068	FAKLGEAP_03275	2	139843	140655	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	270	270	100.00	100.00	270	WP_004201164.1	subclass B1 metallo-beta-lactamase NDM-1	NF000259.2	NDM family subclass B1 metallo-beta-lactamase
AJ_068	NA	2	140659	141021	+	ble	bleomycin binding protein Ble-MBL	core	AMR	AMR	BLEOMYCIN	BLEOMYCIN	EXACTX	121	121	100.00	100.00	121	WP_004201167.1	bleomycin binding protein Ble-MBL	NA	NA
AJ_068	FAKLGEAP_03303	2	165530	166393	+	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTP	287	271	100.00	100.00	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2	NF000295.1	sulfonamide-resistant dihydropteroate synthase Sul2
AJ_068	FAKLGEAP_03304	2	166454	167257	+	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	267	267	100.00	100.00	267	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	NF032895.1	aminoglycoside O-phosphotransferase APH(3'')-Ib
AJ_068	FAKLGEAP_03305	2	167257	168093	+	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	278	278	100.00	100.00	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id	NF012171.0	APH(6)-I family aminoglycoside O-phosphotransferase
AJ_068	FAKLGEAP_03307	2	169049	170263	-	floR	chloramphenicol/florfenicol efflux MFS transporter FloR	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	EXACTP	404	404	100.00	100.00	404	WP_000214119.1	chloramphenicol/florfenicol efflux MFS transporter FloR	NF000219.1	chloramphenicol/florfenicol efflux MFS transporter FloR
AJ_082	OLMDBBPB_00013	1	15118	15888	-	blaOXA	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	256	274	91.61	99.20	251	WP_063861666.1	carbapenem-hydrolyzing class D beta-lactamase OXA-211	NF000417.2	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase
AJ_082	OLMDBBPB_03331	2	124926	125741	-	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTP	271	271	100.00	100.00	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2	NF000295.1	sulfonamide-resistant dihydropteroate synthase Sul2
AJ_082	OLMDBBPB_03363	2	166255	167058	+	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	BLASTP	267	267	100.00	99.63	267	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	NF032895.1	aminoglycoside O-phosphotransferase APH(3'')-Ib
AJ_082	OLMDBBPB_03364	2	167058	167894	+	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	BLASTP	278	278	100.00	99.28	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id	NF012171.0	APH(6)-I family aminoglycoside O-phosphotransferase
AJ_082	OLMDBBPB_03373	2	171741	173216	+	msr(E)	ABC-F type ribosomal protection protein Msr(E)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTP	491	491	100.00	100.00	491	WP_000052512.1	ABC-F type ribosomal protection protein Msr(E)	NF000168.1	Msr family ABC-F type ribosomal protection protein
AJ_082	OLMDBBPB_03374	2	173272	174156	+	mph(E)	Mph(E) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTP	294	294	100.00	100.00	294	WP_000155092.1	Mph(E) family macrolide 2'-phosphotransferase	NF012158.1	Mph(E) family macrolide 2'-phosphotransferase
AJ_082	NA	2	198901	199263	-	ble	bleomycin binding protein Ble-MBL	core	AMR	AMR	BLEOMYCIN	BLEOMYCIN	EXACTX	121	121	100.00	100.00	121	WP_004201167.1	bleomycin binding protein Ble-MBL	NA	NA
AJ_082	OLMDBBPB_03411	2	199267	200079	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	270	270	100.00	100.00	270	WP_004201164.1	subclass B1 metallo-beta-lactamase NDM-1	NF000259.2	NDM family subclass B1 metallo-beta-lactamase
AJ_082	OLMDBBPB_03415	2	202217	202669	+	arr-3	NAD(+)--rifampin ADP-ribosyltransferase Arr-3	core	AMR	AMR	RIFAMYCIN	RIFAMYCIN	EXACTP	150	150	100.00	100.00	150	WP_001749986.1	NAD(+)--rifampin ADP-ribosyltransferase Arr-3	NF033144.1	NAD(+)--rifampin ADP-ribosyltransferase
AJ_082	NA	2	202808	203359	+	aac(6')-Ib4	aminoglycoside N-acetyltransferase AAC(6')-Ib4	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	ALLELEX	184	184	100.00	100.00	184	WP_003159191.1	aminoglycoside N-acetyltransferase AAC(6')-Ib4	NF033074.0	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
AJ_082	OLMDBBPB_03417	2	203531	203878	+	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEP	115	115	100.00	100.00	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	NF000276.2	quaternary ammonium compound efflux SMR transporter QacE
AJ_082	OLMDBBPB_03418	2	203872	204711	+	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTP	279	279	100.00	100.00	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1	NF000294.1	sulfonamide-resistant dihydropteroate synthase Sul1
AJ_082	OLMDBBPB_03432	2	214516	215295	+	aph(3')-VIa	aminoglycoside O-phosphotransferase APH(3')-VIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTP	259	259	100.00	100.00	259	WP_000422636.1	aminoglycoside O-phosphotransferase APH(3')-VIa	NF033062.0	APH(3')-VI family aminoglycoside O-phosphotransferase
AJ_082	OLMDBBPB_03666	3	93678	93914	-	merE	broad-spectrum mercury transporter MerE	plus	STRESS	METAL	MERCURY	MERCURY	BLASTP	78	78	100.00	96.15	78	AAC38236.1	broad-spectrum mercury transporter MerE	NF010310.2	broad-spectrum mercury transporter MerE
AJ_082	OLMDBBPB_03667	3	93911	94276	-	merD	mercury resistance co-regulator MerD	plus	STRESS	METAL	MERCURY	MERCURY	BLASTP	121	121	100.00	90.91	121	AAC38221.1	mercury resistance co-regulator MerD	NF033783.1	mercury resistance co-regulator MerD
AJ_082	OLMDBBPB_03668	3	94294	95979	-	merA	mercury(II) reductase	plus	STRESS	METAL	MERCURY	MERCURY	BLASTP	561	561	100.00	97.50	561	ACU65296.1	mercury(II) reductase	TIGR02053.1	mercury(II) reductase
AJ_082	OLMDBBPB_03669	3	96018	96443	-	merC	organomercurial transporter MerC	plus	STRESS	METAL	MERCURY	ORGANOMERCURY	HMM	141	141	100.00	80.14	141	AAC38233.1	organomercurial transporter MerC	NF033784.1	organomercurial transporter MerC
AJ_082	OLMDBBPB_03670	3	96471	96746	-	merP	mercury resistance system periplasmic binding protein MerP	plus	STRESS	METAL	MERCURY	MERCURY	HMM	91	91	100.00	83.52	91	AAC38219.1	mercury resistance system periplasmic binding protein MerP	TIGR02052.1	mercury resistance system periplasmic binding protein MerP
AJ_082	OLMDBBPB_03671	3	96760	97110	-	merT	mercuric transport protein MerT	plus	STRESS	METAL	MERCURY	MERCURY	BLASTP	116	116	100.00	94.83	116	CAA70196.1	mercuric transport protein MerT	NA	NA
AJ_082	OLMDBBPB_03672	3	97182	97637	+	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	BLASTP	151	144	98.61	92.96	142	CAA77320.1	mercury resistance transcriptional regulator MerR	NF010315.0	mercury resistance transcriptional regulator MerR
AJ_351	BLNJIHMA_02015	1	2104195	2104557	-	merD	mercury resistance co-regulator MerD	plus	STRESS	METAL	MERCURY	MERCURY	BLASTP	120	121	100.00	90.91	121	AAC38221.1	mercury resistance co-regulator MerD	NF033783.1	mercury resistance co-regulator MerD
AJ_351	BLNJIHMA_02016	1	2104574	2106259	-	merA	mercury(II) reductase	plus	STRESS	METAL	MERCURY	MERCURY	BLASTP	561	561	100.00	95.37	561	AAC38220.1	mercury(II) reductase	TIGR02053.1	mercury(II) reductase
AJ_351	BLNJIHMA_02017	1	2106298	2106723	-	merC	organomercurial transporter MerC	plus	STRESS	METAL	MERCURY	ORGANOMERCURY	HMM	141	141	100.00	79.43	141	AAC38233.1	organomercurial transporter MerC	NF033784.1	organomercurial transporter MerC
AJ_351	NA	1	2107043	2107390	-	merT	mercuric transport protein MerT	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	116	116	100.00	94.83	116	CAA70196.1	mercuric transport protein MerT	NA	NA
AJ_351	BLNJIHMA_02019	1	2107462	2107896	+	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	BLASTP	144	144	100.00	92.36	144	CAA77320.1	mercury resistance transcriptional regulator MerR	NF010315.0	mercury resistance transcriptional regulator MerR
AJ_351	BLNJIHMA_03295	1	3350513	3351742	-	ampC	class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	409	397	95.21	62.30	382	WP_004923134.1	class C beta-lactamase	NF033085.1	class C beta-lactamase
AJ_351	BLNJIHMA_03384	2	4665	5195	-	dfrA44	trimethoprim-resistant dihydrofolate reductase DfrA44	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	176	176	100.00	100.00	176	WP_204376220.1	trimethoprim-resistant dihydrofolate reductase DfrA44	NA	NA
AJ_351	BLNJIHMA_03478	2	118748	119914	+	tet(X3)	tetracycline-inactivating monooxygenase Tet(X3)	core	AMR	AMR	TETRACYCLINE	TIGECYCLINE	EXACTP	388	388	100.00	100.00	388	WP_024160783.1	tetracycline-inactivating monooxygenase Tet(X3)	NF033111.2	tetracycline-inactivating monooxygenase Tet(X)
AJ_351	BLNJIHMA_03483	2	123290	124105	-	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTP	271	271	100.00	100.00	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2	NF000295.1	sulfonamide-resistant dihydropteroate synthase Sul2
AJ_351	BLNJIHMA_03525	2	170821	171624	+	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	BLASTP	267	267	100.00	99.63	267	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	NF032895.1	aminoglycoside O-phosphotransferase APH(3'')-Ib
AJ_351	BLNJIHMA_03526	2	171624	172460	+	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	BLASTP	278	278	100.00	99.28	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id	NF012171.0	APH(6)-I family aminoglycoside O-phosphotransferase
AJ_351	BLNJIHMA_03537	2	177584	179059	+	msr(E)	ABC-F type ribosomal protection protein Msr(E)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTP	491	491	100.00	100.00	491	WP_000052512.1	ABC-F type ribosomal protection protein Msr(E)	NF000168.1	Msr family ABC-F type ribosomal protection protein
AJ_351	BLNJIHMA_03538	2	179115	179999	+	mph(E)	Mph(E) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTP	294	294	100.00	100.00	294	WP_000155092.1	Mph(E) family macrolide 2'-phosphotransferase	NF012158.1	Mph(E) family macrolide 2'-phosphotransferase
AJ_351	NA	2	204744	205106	-	ble	bleomycin binding protein Ble-MBL	core	AMR	AMR	BLEOMYCIN	BLEOMYCIN	EXACTX	121	121	100.00	100.00	121	WP_004201167.1	bleomycin binding protein Ble-MBL	NA	NA
AJ_351	BLNJIHMA_03577	2	205110	205922	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	270	270	100.00	100.00	270	WP_004201164.1	subclass B1 metallo-beta-lactamase NDM-1	NF000259.2	NDM family subclass B1 metallo-beta-lactamase
AJ_351	BLNJIHMA_03581	2	208060	208512	+	arr-3	NAD(+)--rifampin ADP-ribosyltransferase Arr-3	core	AMR	AMR	RIFAMYCIN	RIFAMYCIN	EXACTP	150	150	100.00	100.00	150	WP_001749986.1	NAD(+)--rifampin ADP-ribosyltransferase Arr-3	NF033144.1	NAD(+)--rifampin ADP-ribosyltransferase
AJ_351	NA	2	208651	209202	+	aac(6')-Ib4	aminoglycoside N-acetyltransferase AAC(6')-Ib4	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	ALLELEX	184	184	100.00	100.00	184	WP_003159191.1	aminoglycoside N-acetyltransferase AAC(6')-Ib4	NF033074.0	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
AJ_351	BLNJIHMA_03583	2	209374	209721	+	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEP	115	115	100.00	100.00	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	NF000276.2	quaternary ammonium compound efflux SMR transporter QacE
AJ_351	BLNJIHMA_03584	2	209715	210554	+	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTP	279	279	100.00	100.00	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1	NF000294.1	sulfonamide-resistant dihydropteroate synthase Sul1
AJ_351	BLNJIHMA_03598	2	220359	221138	+	aph(3')-VIa	aminoglycoside O-phosphotransferase APH(3')-VIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTP	259	259	100.00	100.00	259	WP_000422636.1	aminoglycoside O-phosphotransferase APH(3')-VIa	NF033062.0	APH(3')-VI family aminoglycoside O-phosphotransferase
AJ_351	BLNJIHMA_03689	2	303412	303867	-	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	BLASTP	151	144	98.61	92.96	142	CAA77320.1	mercury resistance transcriptional regulator MerR	NF010315.0	mercury resistance transcriptional regulator MerR
AJ_351	NA	2	303939	304286	+	merT	mercuric transport protein MerT	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	116	116	100.00	94.83	116	CAA70196.1	mercuric transport protein MerT	NA	NA
AJ_351	BLNJIHMA_03691	2	304606	305031	+	merC	organomercurial transporter MerC	plus	STRESS	METAL	MERCURY	ORGANOMERCURY	HMM	141	141	100.00	79.43	141	AAC38233.1	organomercurial transporter MerC	NF033784.1	organomercurial transporter MerC
AJ_351	BLNJIHMA_03692	2	305070	306755	+	merA	mercury(II) reductase	plus	STRESS	METAL	MERCURY	MERCURY	BLASTP	561	561	100.00	97.50	561	ACU65296.1	mercury(II) reductase	TIGR02053.1	mercury(II) reductase
AJ_351	BLNJIHMA_03693	2	306752	307138	+	merD	mercury resistance co-regulator MerD	plus	STRESS	METAL	MERCURY	MERCURY	BLASTP	128	121	100.00	90.91	121	AAC38221.1	mercury resistance co-regulator MerD	NF033783.1	mercury resistance co-regulator MerD
AJ_351	NA	2	307135	307368	+	merE	broad-spectrum mercury transporter MerE	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	78	78	100.00	96.15	78	AAC38236.1	broad-spectrum mercury transporter MerE	NA	NA
AJ_351	BLNJIHMA_03702	2	315746	316630	-	mph(E)	Mph(E) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTP	294	294	100.00	100.00	294	WP_000155092.1	Mph(E) family macrolide 2'-phosphotransferase	NF012158.1	Mph(E) family macrolide 2'-phosphotransferase
AJ_351	BLNJIHMA_03703	2	316686	318161	-	msr(E)	ABC-F type ribosomal protection protein Msr(E)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTP	491	491	100.00	100.00	491	WP_000052512.1	ABC-F type ribosomal protection protein Msr(E)	NF000168.1	Msr family ABC-F type ribosomal protection protein
AJ_351	NA	2	324593	325432	-	blaOXA-58	carbapenem-hydrolyzing class D beta-lactamase OXA-58	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	280	280	100.00	100.00	280	WP_002002480.1	carbapenem-hydrolyzing class D beta-lactamase OXA-58	NF012161.0	class D beta-lactamase
AL_065	EPFFEEEC_00014	1	16506	17345	-	blaOXA	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	279	279	100.00	97.49	279	WP_140423316.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-648	NF000436.2	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
AL_065	EPFFEEEC_01235	1	1261546	1262409	+	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	287	275	100.00	100.00	275	WP_109545041.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	NF032895.1	aminoglycoside O-phosphotransferase APH(3'')-Ib
AL_065	EPFFEEEC_01236	1	1262409	1263245	+	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	278	278	100.00	100.00	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id	NF012171.0	APH(6)-I family aminoglycoside O-phosphotransferase
AL_065	EPFFEEEC_01248	1	1272819	1273277	-	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	PARTIALP	152	271	53.87	94.52	146	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2	NA	NA
AL_065	EPFFEEEC_03276	2	31609	32439	-	blaOXA-235	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-235	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	276	276	100.00	100.00	276	WP_000854009.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-235	NF000436.2	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
AL_065	EPFFEEEC_03295	2	44778	45557	-	aph(3')-VIa	aminoglycoside O-phosphotransferase APH(3')-VIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTP	259	259	100.00	100.00	259	WP_000422636.1	aminoglycoside O-phosphotransferase APH(3')-VIa	NF033062.0	APH(3')-VI family aminoglycoside O-phosphotransferase
AL_065	EPFFEEEC_03307	2	55363	56202	-	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTP	279	279	100.00	100.00	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1	NF000294.1	sulfonamide-resistant dihydropteroate synthase Sul1
AL_065	EPFFEEEC_03308	2	56196	56543	-	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEP	115	115	100.00	100.00	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	NF000276.2	quaternary ammonium compound efflux SMR transporter QacE
AL_065	NA	2	56715	57266	-	aac(6')-Ib4	aminoglycoside N-acetyltransferase AAC(6')-Ib4	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	ALLELEX	184	184	100.00	100.00	184	WP_003159191.1	aminoglycoside N-acetyltransferase AAC(6')-Ib4	NF033074.0	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
AL_065	EPFFEEEC_03310	2	57405	57857	-	arr-3	NAD(+)--rifampin ADP-ribosyltransferase Arr-3	core	AMR	AMR	RIFAMYCIN	RIFAMYCIN	EXACTP	150	150	100.00	100.00	150	WP_001749986.1	NAD(+)--rifampin ADP-ribosyltransferase Arr-3	NF033144.1	NAD(+)--rifampin ADP-ribosyltransferase
AL_065	EPFFEEEC_03314	2	61100	61879	+	aph(3')-VI	APH(3')-VI family aminoglycoside O-phosphotransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTP	259	259	100.00	100.00	259	WP_014386410.1	APH(3')-VI family aminoglycoside O-phosphotransferase	NF033062.0	APH(3')-VI family aminoglycoside O-phosphotransferase
